userid,nodeid,group,label,date_start,date_end,formatted,latitude,longitude,placeid,street_address,route,intersection,political,country,administrative_area_level_1,administrative_area_level_2,administrative_area_level_3,administrative_area_level_4,administrative_area_level_5,colloquial_area,locality,ward,sublocality,neighborhood,premise,subpremise,postal_code,natural_feature,airport,park,point_of_interest,floor,establishment,parking,post_box,postal_town,room,street_number,bus_station,train_station,transit_station,last_updated,last_retrieved
19fc1658-f1bb-4a86-8e34-29a7c3a322db,cb123dca-eef8-4255-a312-c9a05628cd62,organization,KIJITONYAMA DAR ES SALAAM TANZANIA,12/1/2014,,"Kijitonyama, Dar es Salaam, Tanzania",-6.7776451,39.234951,ChIJ3X6Pjh9MXBgR4rLej3Lrlbk,,,,,Tanzania,Dar es Salaam,Kinondoni,,,,,Dar es Salaam,,,,,,,,,,,,,,,,,,,,,9/7/2016 8:34,10/24/2016
1a234a55-035c-4509-8881-9dd02fa04399,e065aaef-9e72-403f-8b1a-38e5bfca0bf1,organization,OYSTERBAY DAR ES SALAAM TANZANIA,10/1/2010,,"Oyster Bay, Dar es Salaam, Tanzania",-6.7736669,39.2765045,ChIJ-3iwXV5MXBgReX3URGwM158,,,,,Tanzania,Dar es Salaam,Kinondoni,,,,,Dar es Salaam,,,,,,,,,,,,,,,,,,,,,8/22/2016 10:47,10/24/2016
1a234a55-035c-4509-8881-9dd02fa04399,0c727a14-1553-4c32-bafb-d02ae6062c8e,person,"DAR ES SALAAM, TANZANIA",,,"Dar es Salaam, Tanzania",-6.7923541,39.2083282,ChIJ8dabFq5LXBgR3aGGoCZrD5Q,,,,,Tanzania,Dar es Salaam,Kinondoni,,,,,Dar es Salaam,,,,,,,,,,,,,,,,,,,,,8/22/2016 10:47,10/24/2016
1a2952f3-56ca-430b-b574-5b092006a8cb,f8fbd9e3-1b4d-4a58-ae98-25fca13e18d8,location,USA,,,United States,37.0902405,-95.7128906,ChIJCzYy5IS16lQRQrfeQ5K5Oxw,,,,,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,6/13/2016 9:26,10/24/2016
1a2952f3-56ca-430b-b574-5b092006a8cb,0e03a445-e643-40c8-b26a-7e3d747dc434,person,"TRIPOLI, NORTH, LEBANON",,,"Tripoli, Lebanon",34.4380951,35.8308372,ChIJM524nav2IRUReIXefVJSPDI,,,,,Lebanon,North,Tripoli,Tripoli,,,,Tripoli,,,,,,,,,,,,,,,,,,,,,6/13/2016 9:26,10/24/2016
1a5e930f-bf85-46b3-ac80-6d82beb771d8,07979876-5282-4f96-be4a-569a3388e0a5,person,"DAR ES SALAAM, TANZANIA",,,"Dar es Salaam, Tanzania",-6.7923541,39.2083282,ChIJ8dabFq5LXBgR3aGGoCZrD5Q,,,,,Tanzania,Dar es Salaam,Kinondoni,,,,,Dar es Salaam,,,,,,,,,,,,,,,,,,,,,7/28/2016 18:33,10/24/2016
1b740bb9-d649-4f50-85ea-379df30f6ce9,6d77f6a5-adda-440d-a61b-729b7842b9c6,person,"DAR ES SALAAM, TANZANIA",,,"Dar es Salaam, Tanzania",-6.7923541,39.2083282,ChIJ8dabFq5LXBgR3aGGoCZrD5Q,,,,,Tanzania,Dar es Salaam,Kinondoni,,,,,Dar es Salaam,,,,,,,,,,,,,,,,,,,,,8/29/2016 18:46,10/24/2016
1b740bb9-d649-4f50-85ea-379df30f6ce9,e193166b-aaad-497f-a318-dbfe0ee72aed,organization,KIJITONYAMA DAR ES SALAAM TANZANIA,5/1/2015,,"Kijitonyama, Dar es Salaam, Tanzania",-6.7776451,39.234951,ChIJ3X6Pjh9MXBgR4rLej3Lrlbk,,,,,Tanzania,Dar es Salaam,Kinondoni,,,,,Dar es Salaam,,,,,,,,,,,,,,,,,,,,,8/29/2016 18:46,10/24/2016
1b740bb9-d649-4f50-85ea-379df30f6ce9,95c5dbbb-1ccf-4be2-aa04-4b46071e1662,event,ARUSHA TANZANIA,7/1/2015,7/1/2015,"Arusha, Tanzania",-3.3869255,36.682991,ChIJg3M48ogcNxgRUnFJ7PcHGbw,,,,,Tanzania,Arusha,Arusha,,,,,Arusha,,,,,,,,,,,,,,,,,,,,,8/29/2016 18:46,10/24/2016
1bb4f9c4-6a16-4cef-9337-f7ce7053612f,6c85b4e4-fe77-4f05-b86c-530a725b3bf9,person,"DAR ES SALAAM, TANZANIA",,,"Dar es Salaam, Tanzania",-6.7923541,39.2083282,ChIJ8dabFq5LXBgR3aGGoCZrD5Q,,,,,Tanzania,Dar es Salaam,Kinondoni,,,,,Dar es Salaam,,,,,,,,,,,,,,,,,,,,,7/26/2016 11:03,10/24/2016
1c5987a1-82d2-4cbb-96a9-f52445651728,94f87475-af37-41e5-8035-3c77ed2187d2,organization,SINZA DAR ES SALAAM TANZANIA,9/1/2013,,"Sinza, Dar es Salaam, Tanzania",-6.785799,39.2284584,ChIJk7IDC6ROXBgRHmj4YRW-eHQ,,,,,Tanzania,Dar es Salaam,Kinondoni,,,,,Dar es Salaam,,,,,,,,,,,,,,,,,,,,,8/22/2016 13:50,10/24/2016
1c5987a1-82d2-4cbb-96a9-f52445651728,b4ecf940-a533-48e2-b2bd-1f25752a2bd7,person,"DAR ES SALAAM, TANZANIA",,,"Dar es Salaam, Tanzania",-6.7923541,39.2083282,ChIJ8dabFq5LXBgR3aGGoCZrD5Q,,,,,Tanzania,Dar es Salaam,Kinondoni,,,,,Dar es Salaam,,,,,,,,,,,,,,,,,,,,,8/22/2016 13:50,10/24/2016
1c5987a1-82d2-4cbb-96a9-f52445651728,f95623f4-d7ff-4e1f-90e6-eb789efb0683,event,COSTECH DAR ES SALAAM TANZANIA,7/1/2016,7/1/2016,"Kijitonyama, Dar es Salaam, Tanzania",-6.7745419,39.2411957,ChIJL9E9ySZMXBgRhgxWjNNRiak,,,,,Tanzania,,Kinondoni,,,,,Dar es Salaam,,,,,,,,,,,,,,,,,,,,,8/22/2016 13:50,10/24/2016
1dd0b9bc-a1ed-4e0e-ae7c-3db82a6f1ebe,2023dc29-49cd-4752-b457-ad636e21931d,person,"DAR ES SALAAM, TANZANIA",,,"Dar es Salaam, Tanzania",-6.7923541,39.2083282,ChIJ8dabFq5LXBgR3aGGoCZrD5Q,,,,,Tanzania,Dar es Salaam,Kinondoni,,,,,Dar es Salaam,,,,,,,,,,,,,,,,,,,,,9/5/2016 13:40,10/24/2016
1dd0b9bc-a1ed-4e0e-ae7c-3db82a6f1ebe,958491d1-145b-4861-bf24-275510e2bef6,organization,MWANZA MWANZA REGION TANZANIA,7/1/2014,,"Mwanza, Tanzania",-2.5164306,32.91745,ChIJkfuMScZkzhkRHaUjfwomKXU,,,,,Tanzania,Mwanza Region,Nyamagana,,,,,Mwanza,,,,,,,,,,,,,,,,,,,,,9/5/2016 13:40,10/24/2016
1f47256a-76f2-4eb2-84fa-9689e988aced,bf9af640-902b-47dc-acf5-a0a0e4f193da,location,FORUM DE BEIRUT EXPO BEIRUT LEBANON,,,"Jisr, Bayrut, Lebanon",33.898304,35.5353928,ChIJp5Sx3kIWHxURhh7-2pXUQd8,,,,,Lebanon,Beirut,Beirut,Jisr,,,,Bayrut,,,,,,,,,,,,,,,,,,,,,6/20/2016 9:17,10/24/2016
1f47256a-76f2-4eb2-84fa-9689e988aced,b17ce465-23b8-4f6d-ae43-32ca83fd2a01,person,"BEIRUT, LEBANON",,,"Beirut, Lebanon",33.8937912,35.5017776,ChIJj6eAWCEXHxURtDaY6bqCkXI,,,,,Lebanon,Beirut,Beirut,Beirut,,,,Beirut,,,,,,,,,,,,,,,,,,,,,6/20/2016 9:17,10/24/2016
